,school_name_x,year,pta_income,pta_expenditure,pta_start_balance,pta_end_balance,balance_wy_diff_flag,lag_pta_end_balance,ets_balance_diff_flag,pta_start_balance_wy_transaction_flag,pta_income_wy_transaction_flag,pta_expenditure_wy_transaction_flag,pta_end_balance_wy_transaction_flag,pta_start_balance_ws_transaction_flag,pta_income_ws_transaction_flag,pta_expenditure_ws_transaction_flag,pta_end_balance_ws_transaction_flag,any_wy_transaction_flag,any_ws_transaction_flag,any_transaction_flag,anomaly_flag
2509,P.S. 222 Katherine R. Snyder,2020,60819.51171875,58157.94921875,28763.8203125,31425.380859375,False,29753.47,False,False,False,False,False,True,False,False,False,False,True,True,True
2519,P.S. 312 Bergen Beach,2020,70160.2734375,34348.30859375,21722.5703125,3581196.0,True,33495.41,False,False,False,False,True,False,False,False,False,True,False,True,True
2562,P.S. Q016 The Nancy DeBenedittis School,2020,58482.171875,18805.16015625,370.4344921875,39677.01171875,False,56923.75,True,False,False,False,False,False,False,False,False,False,False,False,True
2615,I.S. 025 Adrien Block,2020,22114.7890625,5210.259765625,4374.4501953125,16.899999618530273,True,4374.45,False,False,False,False,False,False,False,False,False,False,False,False,True
2621,P.S. 129 Patricia Larkin,2020,2720165.0,12285.0,17807.75,1491665.0,True,9823.94,False,False,False,False,True,False,False,False,False,True,False,True,True
2663,P.S. 098 The Douglaston School,2020,152972.640625,52748.94921875,1014.04796875,100223.6875,False,94057.84,True,False,False,False,False,False,False,False,False,False,False,False,True
2687,"Queens High School of Teaching, Liberal Arts and t",2020,5081.919921875,1560.9100341796875,25.89449951171875,3521.010009765625,False,2727.51,False,False,False,False,False,False,True,True,False,False,True,True,True
2694,P.S. 056 Harry Eichler,2020,0.0,0.0,380931.0,380931.0,False,3848.17,True,False,False,False,False,False,False,False,False,False,False,False,True
2701,P.S. 090 Horace Mann,2020,0.0,2478.090087890625,16319.099609375,1384101.0,True,2364.63,False,False,False,False,True,False,False,False,False,True,False,True,True
2709,P.S./M.S. 114 Belle Harbor,2020,181952.484375,93659.5390625,969.918515625,88292.953125,False,60603.0,True,False,False,False,False,False,False,False,False,False,False,False,True
2731,New York City Academy for Discovery,2020,5442.64990234375,7829.93994140625,2638.2099609375,243.9199981689453,False,263821.0,True,False,False,False,False,False,False,False,False,False,False,False,True
2739,Scholars' Academy,2020,133840.484375,108799.796875,649.1412109375,25040.689453125,False,64914.12,True,False,False,False,False,False,False,False,False,False,False,False,True
2760,P.S. 099 Kew Gardens,2020,222517.0,125608.0,981.12,96909.0,False,97533.0,True,False,False,False,False,False,False,False,False,False,False,False,True
2761,P.S. 101 School in the Gardens,2020,587694.0625,463444.84375,1969.8859375,124249.25,False,201606.95,True,False,False,False,False,False,False,False,False,False,False,False,True
2772,P.S. 175 The Lynn Gross Discovery School,2020,21293.44921875,19642.599609375,23299.740234375,1650.8499755859375,True,11701.38,False,False,False,False,False,False,False,False,False,False,False,False,True
2775,P.S. 196 Grand Central Parkway,2020,1713582.0,1144905.875,3508.186875,568676.1875,False,677174.86,True,False,False,False,False,False,False,False,False,False,False,False,True
2796,Queens High School for the Sciences at York Colleg,2020,120.0,243.0,5358.0,5115.0,False,5474062.0,True,False,False,False,False,False,False,False,False,False,False,False,True
